Genus,Species,Tissue,LATITUDE,LONGITUDE,DATE,SAMPLE_TYP,NUMBER_IN_,MEAN_LENGT,TOTAL_LENG,MEAN_WEIGH,TOTAL_WEIG,MERCURY_BA,HG_CONCENT,FILLET_CON,DRY_WET_CO,WET_FILLET
Salmo,salar,Whole body,45.11056,-67.175,1993-05-01,Composite,2,374,,460,,Wet,0.38,0.54285,,0.54285
Salmo,salar,"Fillet, skin off",45.11056,-67.175,1993-05-01,Composite,3,393,,558,,Wet,0.35,,,0.35
Catostomus,commersoni,Whole body,45.11056,-67.175,1993-05-01,Composite,5,423,,778,,Wet,0.074,0.10571,,0.10571
Esox,niger,"Fillet, skin off",44.76889,-67.24889,1993-06-01,Composite,5,459,,547,,Wet,0.86,,,0.86
Esox,niger,Whole body,44.76889,-67.24889,1993-06-01,Composite,5,367,,259,,Wet,0.52,0.74285,,0.74285
Catostomus,commersoni,Whole body,44.76889,-67.24889,1993-06-01,Composite,5,409,,735,,Wet,0.22,0.31428,,0.31428
Micropterus,dolomieui,"Fillet, skin off",45.07417,-67.36194,1993-06-01,Composite,5,310,,356,,Wet,0.32,,,0.32
Micropterus,dolomieui,Whole body,45.07417,-67.36194,1993-06-01,Composite,5,331,,472,,Wet,0.21,0.3,,0.3
Micropterus,dolomieui,"Fillet, skin off",45.06639,-67.48611,1993-09-01,Composite,5,344,,606,,Wet,0.48,,,0.48
Micropterus,dolomieui,Whole body,45.06639,-67.48611,1993-09-01,Composite,5,351,,704,,Wet,0.42,0.6,,0.6
Catostomus,commersoni,Whole body,45.06639,-67.48611,1993-09-01,Composite,5,415,,798,,Wet,0.13,0.18571,,0.18571
Salmo,salar,"Fillet, skin off",45.54889,-67.55417,1993-10-01,Composite,5,423,,679,,Wet,0.45,,,0.45
Salmo,salar,Whole body,45.54889,-67.55417,1993-10-01,Composite,5,417,,700,,Wet,0.39,0.55714,,0.55714
Catostomus,commersoni,Whole body,45.54889,-67.55417,1993-10-01,Composite,5,424,,960,,Wet,0.28,0.4,,0.4
Esox,niger,Whole body,45.01444,-67.79278,1993-06-01,Composite,3,422,,447,,Wet,0.42,0.6,,0.6
Esox,niger,"Fillet, skin off",45.01444,-67.79278,1993-07-01,Composite,5,362,,281,,Wet,0.58,,,0.58
Catostomus,commersoni,Whole body,45.01444,-67.79278,1993-06-01,Composite,5,452,,872,,Wet,0.15,0.21428,,0.21428
Salvelinus,fontinalis,Whole body,46.70417,-67.80139,1993-09-01,Composite,1,293,,270,,Wet,0.34,0.48571,,0.48571
Catostomus,commersoni,Whole body,46.70417,-67.80139,1993-09-01,Composite,5,358,,403,,Wet,0.28,0.4,,0.4
Salvelinus,namaycush,"Fillet, skin off",45.23222,-67.80167,1993-08-01,Composite,2,507,,1060,,Wet,0.28,,,0.28
Salvelinus,namaycush,Whole body,45.23222,-67.80167,1993-08-01,Composite,2,494,,1025,,Wet,0.47,0.67142,,0.67142
Catostomus,commersoni,Whole body,45.23222,-67.80167,1993-08-01,Composite,4,501,,1395,,Wet,0.23,0.32857,,0.32857
Salvelinus,fontinalis,"Fillet, skin off",46.40111,-67.82444,1993-06-01,Composite,5,266,,204,,Wet,0.56,,,0.56
Salvelinus,fontinalis,Whole body,46.40111,-67.82444,1993-06-01,Composite,5,267,,222,,Wet,0.45,0.64285,,0.64285
Catostomus,commersoni,Whole body,46.40111,-67.82444,1993-06-01,Composite,5,338,,409,,Wet,0.057,0.08142,,0.08142
Micropterus,dolomieui,"Fillet, skin off",45.50889,-67.83389,1993-06-01,Composite,5,320,,438,,Wet,0.79,,,0.79
Micropterus,dolomieui,Whole body,45.50889,-67.83389,1993-06-01,Composite,5,332,,462,,Wet,0.56,0.8,,0.8
Catostomus,commersoni,Whole body,45.50889,-67.83389,1993-06-01,Composite,5,408,,755,,Wet,0.002,0.00285,,0.00285
Micropterus,dolomieui,"Fillet, skin off",45.74556,-67.85944,1993-06-01,Composite,5,344,,554,,Wet,0.31,,,0.31
Micropterus,dolomieui,Whole body,45.74556,-67.85944,1993-06-01,Composite,5,350,,601,,Wet,0.26,0.37142,,0.37142
Catostomus,commersoni,Whole body,45.74556,-67.85944,1993-06-01,Composite,5,416,,834,,Wet,0.083,0.11857,,0.11857
Salmo,salar,"Fillet, skin off",45.35917,-67.91944,1993-10-01,Composite,5,423,,700,,Wet,0.41,,,0.41
Catostomus,commersoni,Whole body,45.35917,-67.91944,1993-10-01,Composite,5,390,,620,,Wet,0.33,0.47142,,0.47142
Salmo,salar,Whole body,45.35917,-67.91944,1993-10-01,Composite,5,407,,600,,Wet,0.27,0.38571,,0.38571
Esox,niger,"Fillet, skin off",45.1275,-68.00722,1993-06-01,Composite,5,445,,462,,Wet,1.12,,,1.12
Esox,niger,Whole body,45.1275,-68.00722,1993-06-01,Composite,5,455,,484,,Wet,1.2,1.71429,,1.71429
Catostomus,commersoni,Whole body,45.1275,-68.00722,1993-06-01,Composite,5,423,,848,,Wet,0.75,1.07143,,1.07143
Salmo,trutta,Whole body,46.13611,-68.00861,1993-06-01,Composite,1,360,,490,,Wet,0.34,0.48571,,0.48571
Perca,flavescens,"Fillet, skin off",46.13611,-68.00861,1993-06-01,Composite,2,207,,91,,Wet,0.81,,,0.81
Catostomus,commersoni,Whole body,46.13611,-68.00861,1993-06-01,Composite,5,462,,1029,,Wet,0.24,0.34285,,0.34285
Morone,americana,"Fillet, skin off",45.31,-68.05472,1993-06-01,Composite,5,292,,292,,Wet,1.05,,,1.05
Morone,americana,Whole body,45.31,-68.05472,1993-06-01,Composite,5,267,,219,,Wet,0.77,1.1,,1.1
Catostomus,commersoni,Whole body,45.31,-68.05472,1993-06-01,Composite,5,452,,1030,,Wet,0.24,0.34285,,0.34285
Morone,americana,Whole body,45.01806,-68.06444,1993-07-01,Composite,2,296,,330,,Wet,0.42,0.6,,0.6
Morone,americana,"Fillet, skin off",45.01806,-68.06444,1993-07-01,Composite,3,336,,570,,Wet,0.8,,,0.8
Catostomus,commersoni,Whole body,45.01806,-68.06444,1993-07-01,Composite,5,445,,806,,Wet,0.15,0.21428,,0.21428
Esox,niger,Whole body,44.96222,-68.08528,1993-06-01,Composite,2,604,,920,,Wet,0.83,1.18571,,1.18571
Esox,niger,"Fillet, skin off",44.96222,-68.08528,1993-06-01,Composite,3,615,,1280,,Wet,1.08,,,1.08
Catostomus,commersoni,Whole body,44.96222,-68.08528,1993-06-01,Composite,5,435,,929,,Wet,0.19,0.27142,,0.27142
Salmo,salar,"Fillet, skin off",45.15,-68.09306,1993-10-01,Composite,5,453,,881,,Wet,0.22,,,0.22
Catostomus,commersoni,Whole body,45.15,-68.09306,1993-10-01,Composite,5,460,,1050,,Wet,1.2,1.71429,,1.71429
Salmo,salar,Whole body,45.15,-68.09306,1993-10-01,Composite,5,445,,894,,Wet,0.21,0.3,,0.3
